DATETIMEINFOADDED(PT),Ingestor,1stAuditor,2ndAuditor
2018-03-23 20:38:18.281370,jjoines,,
2018-03-23 20:38:18.281430,jjoines,,
2018-03-23 20:38:18.281500,jjoines,,
2018-03-23 20:38:18.281570,phoebea,,
2018-03-23 20:38:18.281630,phoebea,,
2018-03-23 20:38:18.281700,phoebea,,
2018-03-23 20:38:18.281770,phoebea,,
2018-03-23 20:38:18.281830,phoebea,,
2018-03-23 20:38:18.281900,phoebea,,
2018-03-23 20:38:18.281960,phoebea,,
2018-03-23 20:38:18.282030,phoebea,,
2018-03-23 20:38:18.282110,phoebea,,
2018-03-23 20:38:18.282180,phoebea,,
2018-03-23 20:38:18.282260,phoebea,,
2018-03-23 20:38:18.282330,phoebea,,
2018-03-23 20:38:18.282390,phoebea,,
2018-03-23 20:38:18.282460,phoebea,,
2018-03-23 20:38:18.282530,phoebea,,
2018-03-23 20:38:18.282590,phoebea,,
2018-03-23 20:38:18.282660,phoebea,,
2018-03-23 20:38:18.282720,phoebea,,
2018-03-23 20:38:18.282780,jjoines,,
2018-03-23 20:38:18.282830,jjoines,,
2018-03-23 20:38:18.282900,jjoines,,
2018-03-23 20:38:18.282980,jdandan,,
2018-03-23 20:38:18.283040,jdandan,,
2018-03-23 20:38:18.283110,yoselinne,,
2018-03-23 20:38:18.283170,jdandan,,
2018-03-23 20:38:18.283260,jdandan,,
2018-03-23 20:38:18.283330,jdandan,,
2018-03-23 20:38:18.283390,jdandan,,
2018-03-23 20:38:18.283460,yoselinne,,
2018-03-23 20:38:18.283520,jdandan,,
2018-03-23 20:38:18.283580,jdandan,,
2018-03-23 20:38:18.283640,jdandan,,
2018-03-23 20:38:18.283700,jdandan,,
2018-03-23 20:38:18.283760,jdandan,,
2018-03-23 20:38:18.283840,jdandan,,
2018-03-23 20:38:18.283920,jdandan,,
2018-03-23 20:38:18.283990,jdandan,,
2018-03-23 20:38:18.284050,jdandan,,
2018-03-23 20:38:18.284120,jdandan,,
2018-03-23 20:38:18.284210,jdandan,,
2018-03-23 20:38:18.284280,jdandan,,
2018-03-26 14:34:48.145170,jdandan,,
2018-03-26 14:34:48.145250,jdandan,,
2018-03-26 14:34:48.145290,jdandan,,
2018-03-26 14:34:48.145330,jdandan,,
2018-03-26 14:34:48.145360,jdandan,,
2018-03-26 14:34:48.145440,jdandan,,
2018-03-26 14:34:48.145470,jdandan,,
2018-03-26 14:34:48.145510,jdandan,,
2018-03-26 14:34:48.145550,yoselinne,,
2018-03-26 14:34:48.145580,yoselinne,,
2018-03-26 14:34:48.145650,yoselinne,,
2018-03-26 14:34:48.145690,yoselinne,,
2018-03-26 14:34:48.145740,yoselinne,,
2018-03-26 14:34:48.145810,yoselinne,,
2018-03-26 14:34:48.145850,yoselinne,,
2018-03-26 14:34:48.145890,yoselinne,,
2018-03-26 14:34:48.145920,yoselinne,,
2018-03-26 14:34:48.145960,yoselinne,,
2018-03-26 14:34:48.146000,yoselinne,,
2018-03-26 14:34:48.146030,yoselinne,,
2018-03-26 14:34:48.146070,yoselinne,,
2018-03-26 14:34:48.146110,yoselinne,,
2018-03-26 14:34:48.146140,yoselinne,,
2018-03-26 14:34:48.146220,yoselinne,,
2018-03-26 14:34:48.146270,yoselinne,,
2018-03-26 14:34:48.146310,yoselinne,,
2018-03-26 14:34:48.146380,yoselinne,,
2018-03-26 14:34:48.146420,yoselinne,,
2018-03-26 14:34:48.146460,yoselinne,,
2018-03-26 14:34:48.146490,yoselinne,,
2018-03-26 14:34:48.146570,yoselinne,,
2018-03-26 14:34:48.146600,yoselinne,,
2018-03-26 14:34:48.146640,yoselinne,,
2018-03-26 14:34:48.146700,yoselinne,,
2018-03-26 14:34:48.146750,yoselinne,,
2018-03-26 14:34:48.146790,yoselinne,,
2018-03-26 14:34:48.146820,yoselinne,,
2018-03-26 14:34:48.146890,yoselinne,,
2018-03-26 14:34:48.146930,yoselinne,,
2018-03-26 14:34:48.146970,yoselinne,,
2018-03-26 14:34:48.147000,yoselinne,,
2018-03-26 14:34:48.147040,yoselinne,,
2018-03-26 14:34:48.147080,yoselinne,,
2018-03-26 14:34:48.147120,yoselinne,,
2018-03-26 14:34:48.147150,yoselinne,,
2018-03-26 14:34:48.147220,yoselinne,,
2018-03-26 14:34:48.147270,yoselinne,,
2018-03-26 14:34:48.147310,yoselinne,,
2018-03-26 14:34:48.147340,yoselinne,,
2018-03-26 14:34:48.147380,yoselinne,,
2018-03-26 14:34:48.147410,yoselinne,,
2018-03-26 14:34:48.147450,yoselinne,,
2018-03-26 14:34:48.147490,yoselinne,,
2018-03-26 14:34:48.147520,yoselinne,,
2018-03-26 14:34:48.147560,yoselinne,,
2018-03-26 14:34:48.147600,yoselinne,,
2018-03-26 14:34:48.147630,yoselinne,,
2018-03-26 14:34:48.147670,yoselinne,,
2018-03-26 14:34:48.147700,yoselinne,,
2018-03-26 14:34:48.147750,yoselinne,,
2018-03-26 14:34:48.147790,yoselinne,,
2018-03-26 14:34:48.147820,yoselinne,,
2018-03-26 14:34:48.147860,yoselinne,,
2018-03-26 14:34:48.147900,yoselinne,,
2018-03-26 14:34:48.147970,yoselinne,,
2018-03-26 14:34:48.148010,yoselinne,,
2018-03-26 14:34:48.148040,yoselinne,,
2018-03-26 14:34:48.148080,yoselinne,,
2018-03-26 14:34:48.148110,yoselinne,,
2018-03-26 14:34:48.148150,yoselinne,,
2018-03-26 14:34:48.148190,yoselinne,,
2018-03-30 14:31:12.894060,npagan,kcarbonale,
2018-03-30 14:31:12.894290,npagan,kcarbonale,
2018-03-30 14:31:12.894370,npagan,kcarbonale,
2018-03-30 14:31:12.894440,npagan,kcarbonale,
2018-03-30 14:31:12.894520,npagan,kcarbonale,
2018-03-30 14:31:12.894580,npagan,kcarbonale,
2018-03-30 14:31:12.894650,npagan,kcarbonale,
2018-03-30 14:31:12.894750,npagan,kcarbonale,
2018-03-30 14:31:12.894830,npagan,kcarbonale,
2018-03-30 14:31:12.894900,npagan,kcarbonale,
2018-03-30 14:31:12.894980,peraltaa,yoselinne,
2018-03-30 14:31:12.895050,peraltaa,yoselinne,
2018-03-30 14:31:12.895110,peraltaa,yoselinne,
2018-03-30 14:31:12.895180,peraltaa,yoselinne,
2018-03-30 14:31:12.895250,peraltaa,yoselinne,
2018-03-30 14:31:12.895310,peraltaa,yoselinne,
2018-03-30 14:31:12.895380,peraltaa,yoselinne,
2018-03-30 14:31:12.895460,peraltaa,yoselinne,
2018-03-30 14:31:12.895530,peraltaa,yoselinne,
2018-03-30 14:31:12.895600,peraltaa,yoselinne,
2018-03-30 14:31:12.895670,peraltaa,yoselinne,
